Boeing707,707-320
Boeing727,727-200
Boeing737,737-200
Boeing737,737-300
Boeing737,737-400
Boeing737,737-500
Boeing737,737-600
Boeing737,737-700
Boeing737,737-800
Boeing737,737-900
Boeing747,747-100
Boeing747,747-200
Boeing747,747-300
Boeing747,747-400
Boeing757,757-200
Boeing757,757-300
Boeing767,767-200
Boeing767,767-300
Boeing767,767-400
Boeing777,777-200
Boeing777,777-300
A300,A300B4
A310,A310
A320,A318
A320,A319
A320,A320
A320,A321
A330,A330-200
A330,A330-300
A340,A340-200
A340,A340-300
A340,A340-500
A340,A340-600
A380,A380
ATR-42,ATR-42
ATR-72,ATR-72
An-12,An-12
BAE146,BAE
BAE-125,BAE-125
Beechcraft1900,Beechcraft
Boeing717,Boeing
C-130,C-130
C-47,C-47
CRJ-200,CRJ-200
CRJ-700,CRJ-700
CRJ-700,CRJ-900
Cessna172,Cessna
Cessna208,Cessna
CessnaCitation,Cessna
Challenger600,Challenger
DC-10,DC-10
DC-3,DC-3
DC-6,DC-6
DC-8,DC-8
DC-9,DC-9-30
DH-82,DH-82
DHC-1,DHC-1
DHC-6,DHC-6
Dash8,DHC-8-100
Dash8,DHC-8-300
DR-400,DR-400
Dornier328,Dornier
EmbraerE-Jet,E-170
EmbraerE-Jet,E-190
EmbraerE-Jet,E-195
EMB-120,EMB-120
EmbraerERJ145,ERJ
EmbraerLegacy600,Embraer
EurofighterTyphoon,Eurofighter
F-16,F-16A/B
F/A-18,F/A-18
Falcon2000,Falcon
Falcon900,Falcon
Fokker100,Fokker
Fokker50,Fokker
Fokker70,Fokker
GlobalExpress,Global
Gulfstream,Gulfstream
HawkT1,Hawk
Il-76,Il-76
L-1011,L-1011
MD-11,MD-11
MD-80,MD-80
MD-80,MD-87
MD-90,MD-90
Metroliner,Metroliner
KingAir,Model
PA-28,PA-28
SR-20,SR-20
Saab2000,Saab
Saab340,Saab
Spitfire,Spitfire
Tornado,Tornado
Tu-134,Tu-134
Tu-154,Tu-154
Yak-42,Yak-42
